name,container,cas,mw,solute_smiles,solvent_smiles,solvent_name,dm300,dm300_error
Piroxicam,RB38,36322-90-4,307.14514,CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O,CO,Methanol,0.8578556268524998,0.0017
"4-amino-3,5-dimethylbenzonitrile",Z173,74896-24-5,146,CC1=CC(=CC(=C1N)C)C#N,CO,Methanol,0.6524013944628239,0.0147
,Z9,92-44-4,160,OC1=C(O)C=C2C=CC=CC2=C1,CO,Methanol,0.6389466575801473,0.0338
,Z16,92-44-4,160,OC1=C(O)C=C2C=CC=CC2=C1,CO,Methanol,0.6389466575801473,0.0086
"4-BROMOANILINE, 97%",Z133,106-40-1,172,C1=CC(=CC=C1N)Br,CO,Methanol,0.26745365505920826,0.0379
5-Bromoisatin,RSY5,87-48-9,226.03,C1=CC2=C(C=C1Br)C(=O)C(=O)N2,CO,Methanol,0.6940296957591783,0.042
5-Bromoisatin,RSY5,87-48-9,224.9425405,O=C1NC2=C(C=C(Br)C=C2)C1=O,CO,Methanol,0.6940296892184966,0.0017
2-amino-4-methyl-benzonitrile,Z96,26830-96-6,132,CC1=CC(=C(C=C1)C#N)N,CO,Methanol,0.5341499624475506,0.0619
Mepenzolate bromide,AP9,76-90-4,420,C[N+]1(CCCC(C1)OC(=O)C(C2=CC=CC=C2)(C3=CC=CC=C3)O)C,CO,Methanol,0.8096338771456525,0.0518
Mepenzolate bromide,AP9,76-90-4,420,C[N+]1(CCCC(C1)OC(=O)C(C2=CC=CC=C2)(C3=CC=CC=C3)O)C,CO,Methanol,0.8096338771456525,0.0231
,Z22,626-05-1,235,BrC1=CC=CC(Br)=N1,CO,Methanol,0.30196233308610804,0.0619
,Z22,626-05-1,235,BrC1=CC=CC(Br)=N1,CO,Methanol,0.30196233308610804,0.0173
"2,5 dimethyl anilin",CC46,95-78-3,121.0891494,NC1=CC(C)=CC=C1C,CO,Methanol,0.45852125049628806,0.0208
"1-(3,4,5-trimethoxyphenyl)ethanone",Z79,1136-86-3,210,CC(=O)C1=CC(=C(C(=C1)OC)OC)OC,CO,Methanol,0.72509348824385,0.0323
"2,5-Dimethoxybenzaldehyde",Z50,93-02-7,166,COC1=CC(=C(C=C1)OC)C=O,CO,Methanol,0.5293878948002324,0.0089
"4,4-(Hexafluoroisopropylidene)bis(benzoic acid)",CA36,1171-47-7,392.0483281,FC(F)(F)C(C1=CC=C(C=C1)C(O)=O)(C2=CC=C(C=C2)C(O)=O)C(F)(F)F,CO,Methanol,0.9021425429307124,0
"4-NITROANISOLE, 97%",D21,100-17-4,153,COc1ccc(cc1)[N+]([O-])=O,CO,Methanol,0.3526570406010821,0.0972
,Z43,150-78-7,138,COC1=CC=C(C=C1)OC,CO,Methanol,0.2925035563278793,0.0017
1-Boc-3-pyrrolidinol,CB175,103057-44-9,187.24,CC(C)(C)OC(=O)N1CCC(C1)O,CO,Methanol,0.7503820543510629,0.0027
Naproxen,RB28,22204-53-1,230.0942943,O=C([C@H](C1=CC2=CC=C(OC)C=C2C=C1)C)O,CO,Methanol,0.8353299091582113,0.0017
Dimethyl 5-hydroxyisophthalate,Z44,13036-02-7,210,O=C(OC)C1=CC(O)=CC(C(OC)=O)=C1,CO,Methanol,0.7671026559281929,0.0106
"1,4-Dimethoxybenzene",CK2,150-78-7,138.0680796,COC1=CC=C(OC)C=C1,CO,Methanol,0.2925035432465162,0.0192
,Z38,624-28-2,237,BrC1=CN=C(Br)C=C1,CO,Methanol,0.27711843998857055,0.0526
"4,5-difluoro-2-nitroaniline",CB103,78056-39-0,174.0240838,NC1=CC(F)=C(F)C=C1[N+]([O-])=O,CO,Methanol,0.5747735013283491,0.0499
tert-Butylhydroquinone,CQ21,1948-33-0,166.0993797,OC1=CC=C(O)C=C1C(C)(C)C,CO,Methanol,0.7906130835539734,0.0051
"2,2,2-Trimethylpropionanilide",D36,61495-04-3,191,O=C(NC1=C(C)C=CC=C1)C(C)(C)C,CO,Methanol,0.7832710912906586,0.0011
6-Amino-3-bromo-2-methylpyridine,CB144,42753-71-9,185.9792603,CC1=NC(N)=CC=C1Br,CO,Methanol,0.5392872846251825,0.0209
6-BROMOOXINDOLE,CA121,99365-40-9,210.9632759,O=C1NC2=C(C=CC(Br)=C2)C1,CO,Methanol,0.5980787830832747,0.0181
2-Bromoacetophenone,CJ57,2142-69-0,197.9680269,O=C(C1=CC=CC=C1)CBr,CO,Methanol,0.410742151952361,0.0131
"1-CHLORO-2-NITROBENZENE, 99%",D17,88-73-3,157,[O-][N+](=O)c1ccccc1Cl,CO,Methanol,0.33433962608935963,0.0813
"1,2,3,4-Tetrahydro-1-naphthol",CB115,529-33-9,148.088815,OC1CCCC2=C1C=CC=C2,CO,Methanol,0.33092666629587925,0.0036
Propiophenone,D37,93-55-0,135,CCC(C1=CC=CC=C1)=O,CO,Methanol,0.42799957506958225,0.0191
(+)-Quinidine,CA108,56-54-2,324.42,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,CO,Methanol,0.8956648153333827,0.0004
4-bromophenol,Z135,106-41-2,173,C1=CC(=CC=C1O)Br,CO,Methanol,0.29541373743057653,0.0136
Methyl red sodium salt,CA189,845-10-3,291.098371,O=C(C1=C(C=CC=C1)/N=N/C2=CC=C(C=C2)N(C)C)O,CO,Methanol,0.9008866269499863,0.0336
NNN'N'-Tetraethylisophthalamide,D42,13698-87-8,276,CCN(CC)C(C1=CC=CC(C(N(CC)CC)=O)=C1)=O,CO,Methanol,0.8513986593643595,0.0008
1-chloro-2-nitrobenzene,Z126,88-73-3,157,C1=CC=C(C(=C1)[N+](=O)[O-])Cl,CO,Methanol,0.33433962608935963,0.0215
"2,5-Dimethylphenol",CQ44,95-87-4,122,OC1=CC(C)=CC=C1C,CO,Methanol,0.45466649264750236,0.0368
"2,5-Dimethylphenol",CQ44,95-87-4,122,OC1=CC(C)=CC=C1C,CO,Methanol,0.45466649264750236,0.0256
2-Phenylbenzimidazole,CB124,716-79-0,194.23,c1ccc(-c2nc3ccccc3[nH]2)cc1,CO,Methanol,0.6738749347023104,0.0849
"1-CHLORO-4-NITROBENZENE, 99%",D20,100-00-5,157,[O-][N+](=O)c1ccc(Cl)cc1,CO,Methanol,0.31952556862105197,0.1145
"1-CHLORO-4-NITROBENZENE, 99%",D20,100-00-5,157,[O-][N+](=O)c1ccc(Cl)cc1,CO,Methanol,0.31952556862105197,0.0213
"2,5-Dimethylphenol",CQ25,95-87-4,122.0731649,OC1=CC(C)=CC=C1C,CO,Methanol,0.45466649264750236,0.0087
DL-Propranolol hydrochloride,AP2,318-98-9,295,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O,CO,Methanol,0.7688041121137111,0.0002
,Z184,6837-24-7,167,C1CCC(CC1)N2CCCC2=O,CO,Methanol,0.6115803469121356,0.0031
,Z187,822-67-3,98,C1CC=CC(C1)O,CO,Methanol,0.30329404064443377,0.013
2-nitrotoluene,Z131,88-72-2,137,CC1=CC=CC=C1[N+](=O)[O-],CO,Methanol,0.33420511219362964,0.0468
"3,4-Dichloroaniline",CB90,95-76-1,160.98,NC1=CC=C(Cl)C(Cl)=C1,CO,Methanol,0.426390242345436,0.0311
"3,4-Dichloroaniline",CB90,95-76-1,160.9799045,NC1=CC=C(Cl)C(Cl)=C1,CO,Methanol,0.426390242345436,0.1004
Methyl orange,"Q26, N30",547-58-0,327.0653566,OS(C1=CC=C(C=C1)/N=N/C2=CC=C(C=C2)N(C)C)(=O)=O,CO,Methanol,1.003141044359485,0
,Z162,99-99-0,137,CC1=CC=C(C=C1)[N+](=O)[O-],CO,Methanol,0.33021058577927825,0.0275
"1-CHLORO-4-NITROBENZENE, 99%",Z128,100-00-5,157,O=[N+](C1=CC=C(Cl)C=C1)[O-],CO,Methanol,0.3195255819413468,0.012
"1,3,5-Trimethoxybenzene",ck30,621-23-8,168.08,COC1=CC(OC)=CC(OC)=C1,CO,Methanol,0.6351694719159902,0.6387
"1,3,5-Trimethoxybenzene",CK30,621-23-8,168.0786442,COC1=CC(OC)=CC(OC)=C1,CO,Methanol,0.6351694719159902,0.0357
Dimethyl aminoterephthalate,Z32,5372-81-6,209,O=C(OC)C1=CC=C(C(OC)=O)C=C1N,CO,Methanol,0.7537171939922716,0.0252
Dimethyl aminoterephthalate,Z32,5372-81-6,209,O=C(OC)C1=CC=C(C(OC)=O)C=C1N,CO,Methanol,0.7537171939922716,0.0048
,Z58,5372-81-6,209,O=C(OC)C1=CC=C(C(OC)=O)C=C1N,CO,Methanol,0.7537171939922716,0.0068
Menadione,AP28,58-27-5,172,O=C(C(C)=C1)C(C=CC=C2)=C2C1=O,CO,Methanol,0.6522203630914939,0.0107
5-Methylindole,RSY31 (CHECK),614-96-0,131.17,CC1=CC2=C(C=C1)NC=C2,CO,Methanol,0.5171855122175297,0.0561
Prednisolone,CA160,50-24-8,360.44,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,CO,Methanol,0.9886767407564573,0.033
"4-[1,1-bis(4-hydroxyphenyl)ethyl]phenol",CK 32,27955-94-8,306,CC(C1=CC=C(C=C1)O)(C2=CC=C(C=C2)O)C3=CC=C(C=C3)O,CO,Methanol,0.8603709217381111,0
Phenylacetylene,RB13,536-74-3,102.13,C#Cc1ccccc1,CO,Methanol,0.21532191873590648,0.0351
"3,4,5-TRIMETHYLPHENOL, 97%",CA5,527-54-8,137,Cc1cc(O)cc(C)c1C,CO,Methanol,0.6501531640256573,0.0069
"4'-BROMOACETOPHENONE, 98%",D19,99-90-1,198,CC(=O)c1ccc(Br)cc1,CO,Methanol,0.4489154931704615,0.03
"5,5'-Dimethyl-2,2'-bipyridine",Z65,1762-34-1,184,CC1=CN=C(C=C1)C2=NC=C(C=C2)C,CO,Methanol,0.6176164188505741,0
,Z178,69113-59-3,229,C1=CC(=CC(=C1)I)C#N,CO,Methanol,0.3569081035954313,0.0627
,Z178,69113-59-3,229,C1=CC(=CC(=C1)I)C#N,CO,Methanol,0.3569081035954313,0.0165
"4,4'-Dimethyl-2,2'-bipyridyl",Z5,1134-35-6,184,CC1=CC(C2=NC=CC(C)=C2)=NC=C1,CO,Methanol,0.6250099274565921,0.0123
Naphthol blue black,CO39,1064-48-8,616.0059066,NC1=C(C(S(O)(=O)=O)=CC2=C1C(O)=C(C(S(O)(=O)=O)=C2)/N=N/C3=CC=CC=C3)/N=N/C4=CC=C(C=C4)[N+]([O-])=O,CO,Methanol,1.0657583865069635,0
,Z8,5779-95-3,134,O=CC1=CC(C)=CC(C)=C1,CO,Methanol,0.5272299979942199,0.0388
pyrimethanie (mebendazole),RB23,31431-39-7,295.0956913,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CC=C3,CO,Methanol,0.8075310698362262,0.0132
"2,5-dibromo-3,4-dinitrothiophene",CA29,52431-30-8,329.7945517,O=[N+](C1=C(Br)SC(Br)=C1[N+]([O-])=O)[O-],CO,Methanol,0.6387465874232267,0.0318
"2,5-dibromo-3,4-dinitrothiophene",CA29,52431-30-8,329.79,O=[N+](C1=C(Br)SC(Br)=C1[N+]([O-])=O)[O-],CO,Methanol,0.6387465874232267,0.0048
Tadalafil,CA114,171596-29-5,389.4,CN1CC(=O)N2[C@H](Cc3c([nH]c4ccccc34)[C@H]2c2ccc3c(c2)OCO3)C1=O,CO,Methanol,0.8715969876770228,0
"1,3,5-Tris(4-aminophenyl)benzene",CA144,118727-34-7,351.44,Nc1ccc(-c2cc(-c3ccc(N)cc3)cc(-c3ccc(N)cc3)c2)cc1,CO,Methanol,0.7655524688067784,0.0001
4-phenoxyaniline,Z141,139-59-3,185,C1=CC=C(C=C1)OC2=CC=C(C=C2)N,CO,Methanol,0.4299770162876578,0.0189
"4,4'-BIPHENYLDICARBONITRILE",Z118,1591-30-6,204,C1=CC(=CC=C1C#N)C2=CC=C(C=C2)C#N,CO,Methanol,0.5865630622478551,0.0206
PYRIMETHAMINE,AP23,58-14-0,248,CCC1=C(C2=CC=C(Cl)C=C2)C(N)=NC(N)=N1,CO,Methanol,0.8249091643560579,0.0004
PYRIMETHAMINE,AP23,58-14-0,248.0828741,CCC1=C(C2=CC=C(Cl)C=C2)C(N)=NC(N)=N1,CO,Methanol,0.8249091643560579,0.0087
4-HYDROXYFLUORENE,Z149,1689-64-1,182,C1=CC=C2C(=C1)C(C3=CC=CC=C32)O,CO,Methanol,0.6109554585547666,0.0161
"2,3,5-TRIMETHYLPNEOL",Z151,697-82-5,136,CC1=CC(=C(C(=C1)O)C)C,CO,Methanol,0.6281299114435094,0.0152
Losartan potassium salt,AP53,124750-99-8,460.1180687,OCC1=C(Cl)N=C(CCCC)N1CC2=CC=C(C=C2)C3=C(C=CC=C3)C4=NN=NN4,CO,Methanol,0.8611196344696032,0.0012
6-Chloroindole,RSY12,17422-33-2,151.59,C1=CC(=CC2=C1C=CN2)Cl,CO,Methanol,0.49371412285573685,0.0555
"2,4,6-TRICHLOROPHENOL, 98%",CC5,88-06-2,195,Oc1c(Cl)cc(Cl)cc1Cl,CO,Methanol,0.5526741053931368,0.107
"2,4,6-TRICHLOROPHENOL, 98%",CC5,88-06-2,195,Oc1c(Cl)cc(Cl)cc1Cl,CO,Methanol,0.5526741053931368,0.0193
1-iodo-4-nitrobenzene,Z136,636-98-6,249,O=[N+](C1=CC=C(I)C=C1)[O-],CO,Methanol,0.3373255975711737,0.0542
"BROMOBENZENE, REAGENTPLUS, 99%",D15,108-86-1,156,Brc1ccccc1,CO,Methanol,0.17077902832730482,0.0509
Bisphenol A,CR17,80-05-7,228.1150298,OC1=CC=C(C=C1)C(C)(C)C2=CC=C(C=C2)O,CO,Methanol,0.8134212415769283,0
2-Methylanisole,CJ7,578-58-5,122,COC1=CC=CC=C1C,CO,Methanol,0.28779398556742325,0.0103
"a,a'-Dibromo-p-xylene",CB49,623-24-5,261.8992745,BrCC1=CC=C(C=C1)CBr,CO,Methanol,0.463283133911069,0.0157
ACRIDINE,D30,260-94-6,179,C12=NC3=CC=CC=C3C=C1C=CC=C2,CO,Methanol,0.6034863316433694,0.0267
Diisopropyl succinate,Z20,924-88-9,202,CC(C)OC(=O)CCC(=O)OC(C)C,CO,Methanol,0.7948293020455349,0.007
Diclofenac sodium salt,AP33,15307-79-6,316.9986282,OC(CC1=C(C=CC=C1)NC2=C(C=CC=C2Cl)Cl)=O,CO,Methanol,0.7317777612479451,0.0005
"1-NITRONAPHTHALENE, 99%",D16,86-57-7,173,[O-][N+](=O)c1cccc2ccccc12,CO,Methanol,0.4743631313856575,0.1125
,Z73,122-95-2,166,CCOC1=CC=C(C=C1)OCC,CO,Methanol,0.5496186052629749,0.0192
,Z165,24596-19-8,200,CC1=CC(=CC(=C1N)C)Br,CO,Methanol,0.6113811201712545,0.0424
,Z165,24596-19-8,200,CC1=CC(=CC(=C1N)C)Br,CO,Methanol,0.6113811201712545,0.0172
2-Acetonaphthone,CL12,93-08-3,170.0731649,CC(C1=CC=C2C=CC=CC2=C1)=O,CO,Methanol,0.602830556464252,0.0837
"2-BROMO-N,N-DIMETHYLANILINE",D38,698-00-0,200,CN(C)C1=CC=CC=C1Br,CO,Methanol,0.47953201507467247,0.0425
Ibuprofen,AP10,15687-27-1,206.1306798,CC(CC1=CC=C(C(C(O)=O)C)C=C1)C,CO,Methanol,0.7947417198870292,0.0011
,Z54,840-65-3,244,O=C(C1=CC=C2C=C(C(OC)=O)C=CC2=C1)OC,CO,Methanol,0.7424219611804178,0.4017
,Z59,122-95-2,166,CCOC1=CC=C(OCC)C=C1,CO,Methanol,0.549618601932901,0.0197
2-Pheylphenol,CQ4,90-43-7,170.0731649,OC1=CC=CC=C1C2=CC=CC=C2,CO,Methanol,0.4990515630818185,0.07
,Z188,935-14-8,126,C#CC1=CC=C(C=C1)C#C,CO,Methanol,0.46927041789983215,0.0172
"DIETHYL 1,4-DIHYDRO-2,6-DIMETHYL-3,5-PYRIDINEDICARBOXYLATE",CK27,1149-23-1,253.29,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1,CO,Methanol,0.7869398723463141,0
"1-NITRONAPHTHALENE, 99%",Z132,86-57-7,173,C1=CC=C2C(=C1)C=CC=C2[N+](=O)[O-],CO,Methanol,0.4743631355708657,0.0296
"1-NITRONAPHTHALENE, 99%",Z132,86-57-7,173,C1=CC=C2C(=C1)C=CC=C2[N+](=O)[O-],CO,Methanol,0.4743631355708657,0.2065
"4,4'-(hexafluoroisopropylidene) dianiline",CA18,1095-78-9,334.0904677,FC(F)(F)C(C1=CC=C(C=C1)N)(C2=CC=C(C=C2)N)C(F)(F)F,CO,Methanol,0.8779001117835863,0.0088
4-Ethynyltoluene,CA104,766-97-2,116.16,C#Cc1ccc(C)cc1,CO,Methanol,0.34270980778087207,0.0192
"2,5-Dibromofuran",CB56,32460-00-7,223.8472389,BrC1=CC=C(Br)O1,CO,Methanol,0.3093114202631985,0.0567
"9-ANTHRACENEMETHANOL, 97%",D9,1468-95-7,208,OCc1c2ccccc2cc3ccccc13,CO,Methanol,0.6841641472765531,0.0011
Fluoxetine Hydrochloride,AP13,56296-78-7,345,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,CO,Methanol,0.7803835463929115,0.0015
4-Bromoanisole,CC23,104-92-7,185.9680269,COC1=CC=C(Br)C=C1,CO,Methanol,0.26716375334731196,0.0299
Methyl 4-bromobenzoate,CJ70,619-42-1,215.05,BrC1=CC=C(C(OC)=O)C=C1,CO,Methanol,0.47876651188367286,0.0146
,Z28,91-44-1,231,O=C1OC2=C(C=CC(N(CC)CC)=C2)C(C)=C1,CO,Methanol,0.7930817657811756,0.0037
Triphenylacetic acid,Z94,595-91-5,288,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3)C(=O)O,CO,Methanol,0.8901904842018679,0
Dimethoxybenzophenone,CB157,3555-84-8,242.27,COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)OC,CO,Methanol,0.6734096657779592,0.0075
"6-BROMO-1,4-BENZODIOXANE",RSY30,52287-51-1,215.04,C1COC2=C(O1)C=CC(=C2)Br,CO,Methanol,0.48796606777571877,0.0502
"4,4'-Difluorobenzophenone",CO28,345-92-6,218,O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2,CO,Methanol,0.5902165329681904,0.018
"1-Bromo-3,5-dimethoxybenzene",Z55,20469-65-2,217,COC1=CC(OC)=CC(Br)=C1,CO,Methanol,0.573558418402755,0.0309
"1-Bromo-3,5-dimethoxybenzene",Z55,20469-65-2,217,COC1=CC(OC)=CC(Br)=C1,CO,Methanol,0.573558418402755,0.0056
"3,3'-dimethylnaphthidine","K14, T73",13138-48-2,312.1626486,NC(C1=CC=CC=C12)=C(C)C=C2C3=CC(C)=C(N)C4=CC=CC=C34,CO,Methanol,0.771222397701087,0
Thymol,CP3,89-83-8,150.1044651,CC1=CC(O)=C(C(C)C)C=C1,CO,Methanol,0.6716450556396971,0.0046
"4,4'-Difluorobenzophenone",CJ19,345-92-6,218.0543213,O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2,CO,Methanol,0.5902165329681904,0.0048
,Z175,95-50-1,147,C1=CC=C(C(=C1)Cl)Cl,CO,Methanol,0.29300539873564085,0.0133
"4,4'-(9H-fluorene-9,9-diyl)dianiline",Z139,15499-84-0,348,C1=CC=C2C(=C1)C3=CC=CC=C3C2(C4=CC=C(C=C4)N)C5=CC=C(C=C5)N,CO,Methanol,0.867774547124243,0.0004
Diphenylamine,CQ1,122-39-4,169.0891494,C1(NC2=CC=CC=C2)=CC=CC=C1,CO,Methanol,0.37679653642980665,0.0619
Thymol blue,CB111,76-61-9,466.59,Cc1cc(O)c(C(C)C)cc1C1(c2cc(C(C)C)c(O)cc2C)OS(=O)(=O)c2ccccc21,CO,Methanol,0.9438819401021137,0
4-Iodoanisole,CC26,696-62-8,234.03,COc1ccc(I)cc1,CO,Methanol,0.28557135526394845,0.2947
4-Iodoanisole,Z137,696-62-8,234,COC1=CC=C(C=C1)I,CO,Methanol,0.28557135526394845,0.0757
4-Iodoanisole,Z137,696-62-8,234,COC1=CC=C(C=C1)I,CO,Methanol,0.28557135526394845,0.0222
Sertraline hydrochloride,AP32,79559-97-0,342.69,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,CO,Methanol,0.7615074123988687,0
,Z182,619-44-3,262,COC(=O)C1=CC=C(C=C1)I,CO,Methanol,0.48865744606426387,0.0198
rac-BINOL,D32,18531-94-7,286.33,OC1=C(C2=C(C=CC=C3)C3=CC=C2O)C(C=CC=C4)=C4C=C1,CO,Methanol,0.7430814482911892,0
Flavanone,CB140,487-26-3,224.0837296,O=C1CC(C2=CC=CC=C2)OC3=C1C=CC=C3,CO,Methanol,0.38758047849483734,0.255
,Z71,583-53-9,236,BrC1=CC=CC=C1Br,CO,Methanol,0.3330275040582095,0.0349
"4,4-(Hexafluoroisopropylidene)diphenol",CJ31,1478-61-1,336.0584989,FC(F)(F)C(C1=CC=C(O)C=C1)(C2=CC=C(O)C=C2)C(F)(F)F,CO,Methanol,0.8800953144842226,0.0019
Benzbromarone,RB30,3562-84-3,421.9153184,O=C(C1=CC(Br)=C(O)C(Br)=C1)C2=C(OC3=C2C=CC=C3)CC,CO,Methanol,0.7636627382154314,0
Fenbendazole,RB24,43210-67-9,299.0728477,COC(NC1=NC2=C(C=C(SC3=CC=CC=C3)C=C2)N1)=O,CO,Methanol,0.841916051181773,0.0092
"1,4-dibromo-2,5-dimethoxybenzene",CB130,2674-34-2,293.8891037,COC1=C(Br)C=C(OC)C(Br)=C1,CO,Methanol,0.581886681348848,0.0076
"3-BROMOTOLUENE, 98%",D23,591-17-3,170,Cc1cccc(Br)c1,CO,Methanol,0.29756739269207416,0.0206
5-Bromo-1-methyl-1H-indole,RSY40,10075-52-2,210.07,CN1C=CC2=C1C=CC(=C2)Br,CO,Methanol,0.5891407639051495,0.0477
ANETHOL,Z156,4180-23-8,148,CC=CC1=CC=C(C=C1)OC,CO,Methanol,0.3938778113504835,0.0259
2-Hydroxy-4-methoxybenzophenone,CC 19,131-57-7,228,COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)O,CO,Methanol,0.6837062873912002,0.0242
Rifaximin,AP63,80621-81-4,785.9,C[C@H]1/C=C/C=C(\C(=O)NC2=C(C3=C(C4=C(C(=C3O)C)O[C@@](C4=O)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C5=C2N6C=CC(=CC6=N5)C)O)/C,CO,Methanol,0.9146048600606473,0
"1,8-DICHLOROANTHRAQUINONE, 97%",CE6,82-43-9,276,Clc1cccc2C(=O)c3cccc(Cl)c3C(=O)c12,CO,Methanol,0.7134127999129034,0.0011
2-Hydroxy-4-methoxybenzophenone,CC19,131-57-7,228.0786442,O=C(C1=CC=CC=C1)C2=CC=C(OC)C=C2O,CO,Methanol,0.6837062773473921,0.014
9-(2-Hydroxyethyl)anthracene,CA139,54060-73-0,222.1044651,OCCC1=C2C=CC=CC2=CC3=CC=CC=C13,CO,Methanol,0.7065650318173388,0.0039
"1,3-Dibenzoylbenzene",D29,3770-82-9,286,O=C(C1=CC(C(C2=CC=CC=C2)=O)=CC=C1)C3=CC=CC=C3,CO,Methanol,0.6959119849639333,0.0044
Dibenzyl ether,CA6,103-50-4,198,C(OCc1ccccc1)c2ccccc2,CO,Methanol,0.31347016400084654,0.1663
,Z74,327-51-5,271,FC1=C(Br)C=C(F)C(Br)=C1,CO,Methanol,0.5450538512505302,0.0066
"1,4-Dibromo-2,5-difluorobenzene",Z74,327-51-5,272,FC1=C(Br)C=C(F)C(Br)=C1,CO,Methanol,0.5450538512505302,0.0138
4-Iodotoluene,CB87,624-31-7,218.03,Cc1ccc(I)cc1,CO,Methanol,0.28896688076164084,0.0163
4-Iodotoluene,CB87,624-31-7,218.03,Cc1ccc(I)cc1,CO,Methanol,0.28896688076164084,0.0949
Mometasone Furoate,AP11,83919-23-7,520.141944,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CCl)OC(=O)C5=CC=CO5)C)O)Cl)C,CO,Methanol,0.8738022655963604,0.007
"1,4-Dibromo-2,5-difluorobenzene",Z10,327-51-5,272,C1=C(C(=CC(=C1Br)F)Br)F,CO,Methanol,0.5450538557554836,0.0566
,Z62,6161-50-8,214,COC1=CC(C2=CC=CC(OC)=C2)=CC=C1,CO,Methanol,0.6109103604843794,0.0178
,Z62,6161-50-8,214,COC1=CC(C2=CC=CC(OC)=C2)=CC=C1,CO,Methanol,0.6109103604843794,0.1051
,Z68,2571-39-3,210,O=C(C1=CC=C(C)C(C)=C1)C2=CC=CC=C2,CO,Methanol,0.6572228479671343,0.0351
Dipyridamole,AP5,58-32-2,504,OCCN(C1=NC2=C(C(N3CCCCC3)=N1)N=C(N(CCO)CCO)N=C2N4CCCCC4)CCO,CO,Methanol,0.9339756640243265,0.0002
Biphenyl,N53,92-52-4,154.21,c1ccc(-c2ccccc2)cc1,CO,Methanol,0.34147526207877466,0.0988
"4,4'-Dimethylbenzophenone",Z63,611-97-2,210,CC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)C,CO,Methanol,0.651296969119254,0.022
1-Methylnaphthalene,CC25,90-12-0,142,CC1=CC=CC2=CC=CC=C12,CO,Methanol,0.43075706194968877,0.0073
4-iodotoluene,Z134,624-31-7,218,CC1=CC=C(C=C1)I,CO,Methanol,0.28896688076164084,0.0232
4-iodotoluene,Z134,624-31-7,218,CC1=CC=C(C=C1)I,CO,Methanol,0.28896688076164084,0.071
,Z189,51934-41-9,276,CCOC(=O)C1=CC=C(C=C1)I,CO,Methanol,0.6009753266455026,0.0207
Tebuconazole,RB40,107534-96-3,307.14514,CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O,CO,Methanol,0.8578556268524998,0.0005
,Z170,95-63-6,120,CC1=CC(=C(C=C1)C)C,CO,Methanol,0.42435747957391845,0.0412
4-bromo-2-(4-bromopyridin-2-yl)pyridine,Z27,18511-71-2,313,C1=CN=C(C=C1Br)C2=NC=CC(=C2)Br,CO,Methanol,0.5882921120893798,0.0218
Fluorene,CB78,86-73-7,166.22,c1ccc2c(c1)Cc1ccccc1-2,CO,Methanol,0.5169146893413589,0.0074
Propiconazole,RB44,60207-90-1,341.0697821,CCCC(CO1)OC1(C2=C(Cl)C=C(Cl)C=C2)CN3N=CN=C3,CO,Methanol,0.8500736975402736,0.001
Di-p-tolylamine,D27,620-93-9,197,CC1=CC=C(NC2=CC=C(C)C=C2)C=C1,CO,Methanol,0.5527458316716473,0.047
,Z72,624-38-4,329,IC1=CC=C(I)C=C1,CO,Methanol,0.31789182833513524,0.0306
,Z72,624-38-4,329,IC1=CC=C(I)C=C1,CO,Methanol,0.31789182833513524,0.0198
,Z166,120-82-1,181,C1=CC(=C(C=C1Cl)Cl)Cl,CO,Methanol,0.4063917427262922,0.0228
3-Bromo-9H-carbazole,RSY15,1592-95-6,246.1,C1=CC=C(C=C1)NC2=CC=CC3=CC=CC=C32,CO,Methanol,0.5747266305072175,0.0271
,Z30,626-00-6,330,IC1=CC(I)=CC=C1,CO,Methanol,0.3470039819883162,0.0118
,Z30,626-00-6,330,IC1=CC(I)=CC=C1,CO,Methanol,0.3470039819883162,0.0784
"1,3-Diiodobenzene",Z35,626-00-6,329,IC1=CC(I)=CC=C1,CO,Methanol,0.3470039819883162,0.0075
